,accgdln,age,altdum,amttotal,casetype,citwhere,combdrg2,crimhist,disposit,district,drugmin,dsplea,educatn,intdum,methmin,monrace,monsex,mweight,newcit,newcnvtn,neweduc,newrace,nodrug,numdepen,offguide,prisdum,probatn,probdum,quarter,reas1,reas2,reas3,regsxmin,relmin,restdet1,restdum,safe,safety,senspcap,sensplt0,sentimp,smax1,smin1,sources,statmax,statmin,supermax,supermin,suprdum,suprel,timservc,totchpts,totrest,totunit,typemony,typeoths,unit1,mwgt1,wgt1,xcrhissr,xfolsor,xmaxsor,xminsor,sentrnge,no_of_misclass
3411,1.0,60.0,0,0,1.0,211.0,1.0,1.0,1,34,0,1,22.0,0,0,2,0.0,1700000.0,0.0,0,5.0,2.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,137.0,137.0,1,360.0,0.0,1,360.0,0.0,72.0,34.99150401836969,1,72,0.0,8.0,0.0,1.0,1.0,3,2.0,1700000.0,8500.0,4.0,29.0,151.0,121.0,0.0,1
3418,8.0,50.0,0,0,2.0,211.0,4.0,1.0,1,70,0,1,12.0,0,0,1,1.0,64756246.960035145,0.0,0,3.0,1.0,1.0,1.5311047437121936,9,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,0.0,0.03,0.03,1,12.0,0.0,9,12.0,0.0,12.0,34.99150401836969,1,12,997.0,4.781741931562633,0.0,1.0106441214038075,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,2.0,6.0,0.0,0.0,1
3420,1.0,25.0,0,0,1.0,211.0,2.0,1.0,1,42,60,1,0.0,0,0,2,0.0,159552.28,0.0,0,1.0,2.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,60,0.0,4.0,0.0,1.0,1.0,0,1.0,159552.28,44.68,3.0,21.0,57.0,46.0,0.0,1
3421,1.0,30.0,0,0,1.0,211.0,77.0,1.0,1,2,120,1,34.0,0,0,1,0.0,64756246.960035145,0.0,0,5.0,1.0,1.0,0.0,10,1,0,0,1,2.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,0.03,0.03,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,1,60,997.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,27.0,87.0,70.0,8.0,1
3423,1.0,24.0,0,0,1.0,49.0,6.0,0.0,1,85,60,1,16.0,0,0,1,0.0,3907644.83,1.0,0,6.0,3.0,2.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,0.0,0.0,1.0,1.0,0,1.0,3907440.0,1953.72,1.0,33.0,168.0,135.0,2.0,1
3424,1.0,31.0,0,250,1.0,211.0,6.0,1.0,1,76,0,1,34.0,0,0,1,1.0,64756246.960035145,0.0,0,5.0,1.0,1.0,1.0,10,1,0,0,1,19.0,2.0,3.0,0,0,0.0,0.0,0.0,0.0,24.0,24.0,1,240.0,0.0,1,240.0,0.0,36.0,12.0,1,36,0.0,4.0,0.0,1.0,3.0,0,1.0,63560994.99244218,85104.43331456716,3.0,25.0,87.0,70.0,2.0,1
3426,1.0,38.0,0,0,1.0,211.0,1.0,1.0,1,42,60,1,21.0,0,0,1,0.0,862000.0,0.0,0,3.0,3.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,70.0,70.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,60,0.0,3.0,0.0,1.0,1.0,0,2.0,862000.0,4310.0,2.0,25.0,78.0,63.0,0.0,1
3430,1.0,49.0,0,0,1.0,211.0,6.0,1.0,1,85,0,1,21.0,0,0,1,1.0,960000.0,0.0,0,3.0,1.0,1.0,2.0,10,1,0,0,1,1211.0,15.0,19.0,0,0,0.0,0.0,0.0,0.0,30.0,30.0,1,240.0,0.0,1,240.0,0.0,36.0,34.99150401836969,1,36,0.0,6.0,0.0,1.0,1.0,0,1.0,960000.0,48.0,3.0,23.0,71.0,57.0,2.0,1
3431,1.0,39.0,0,0,1.0,211.0,6.0,1.0,1,42,60,1,21.0,0,0,2,0.0,7232000.0,0.0,0,3.0,2.0,1.0,5.0,10,1,0,0,1,500.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,96.0,96.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,60,0.0,8.0,0.0,1.0,1.0,0,1.0,7232000.0,361.6,4.0,33.0,235.0,188.0,4.0,1
3440,1.0,31.0,0,0,1.0,211.0,6.0,1.0,1,42,120,1,21.0,0,0,1,0.0,5225638.8,0.0,0,3.0,3.0,2.0,3.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,135.0,135.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,5.0,0.0,1.0,1.0,0,1.0,5225600.0,2612.8,3.0,31.0,168.0,135.0,0.0,1
